fecha_consulta,pizarra,tipo_documento,fecha_documento,version,archivo_destino,estado
2026-05-17T12:26:44.183071,ACTIG+,Prospecto,16/05/2023,ACTIG+ IMPRIMIR,"Archivos\OPERADORA ACTINVER, S.A. DE C.V., SOCIEDAD OPERADORA DE FONDOS DE INVERSIÓN, GRUPO FINANCIERO ACTINV\ACTIG+_Prospecto_16-05-2023_ACTIG+_IMPRIMIR.pdf",Exito
2026-05-17T12:26:53.750642,PEMERGE,Prospecto,17/05/2023,Escrito fe de erratas - entrada en vigor,"Archivos\PRINCIPAL FONDOS DE INVERSIÓN, S.A. DE C.V., OPERADORA DE FONDOS DE INVERSIÓN, PRINCIPAL GRUPO FINAN\PEMERGE_Prospecto_17-05-2023_Escrito_fe_de_erratas_-_entrada_en_vigor.pdf",Exito
2026-05-17T12:27:05.525999,MXRATES,DICI,09/05/2023,DICIMXRATES,"Archivos\VECTOR FONDOS, S.A. DE C.V., SOCIEDAD OPERADORA DE FONDOS DE INVERSIÓN\MXRATES_DICI_09-05-2023_DICIMXRATES.pdf",Exito
2026-05-17T12:27:16.046686,MXRATES,Prospecto,09/05/2023,PROSPECTO GENÉRICO 2023,"Archivos\VECTOR FONDOS, S.A. DE C.V., SOCIEDAD OPERADORA DE FONDOS DE INVERSIÓN\MXRATES_Prospecto_09-05-2023_PROSPECTO_GENÉRICO_2023.pdf",Exito
2026-05-17T12:27:27.385626,FMXUSA,Prospecto,09/05/2023,ProspectoParticularVECTUSA,"Archivos\VECTOR FONDOS, S.A. DE C.V., SOCIEDAD OPERADORA DE FONDOS DE INVERSIÓN\FMXUSA_Prospecto_09-05-2023_ProspectoParticularVECTUSA.pdf",Exito
2026-05-17T12:27:38.607220,COMMODQ,Prospecto,09/05/2023,ProspectoParticularCOMMODQ,"Archivos\VECTOR FONDOS, S.A. DE C.V., SOCIEDAD OPERADORA DE FONDOS DE INVERSIÓN\COMMODQ_Prospecto_09-05-2023_ProspectoParticularCOMMODQ.pdf",Exito
2026-05-17T12:27:51.094538,MXRATES,Prospecto,09/05/2023,Carta CNBV entrada en vigor y plazo a clientes,"Archivos\VECTOR FONDOS, S.A. DE C.V., SOCIEDAD OPERADORA DE FONDOS DE INVERSIÓN\MXRATES_Prospecto_09-05-2023_Carta_CNBV_entrada_en_vigor_y_plazo_a_clientes.pdf",Exito
2026-05-17T12:27:58.049246,EQUITY,Prospecto,09/05/2023,Carta CNBV entrada en vigor y plazo a clientes,"Archivos\VECTOR FONDOS, S.A. DE C.V., SOCIEDAD OPERADORA DE FONDOS DE INVERSIÓN\EQUITY_Prospecto_09-05-2023_Carta_CNBV_entrada_en_vigor_y_plazo_a_clientes.pdf",Exito
2026-05-17T12:28:05.285665,FMXPA,Prospecto,09/05/2023,Carta CNBV entrada en vigor y plazo a clientes,"Archivos\VECTOR FONDOS, S.A. DE C.V., SOCIEDAD OPERADORA DE FONDOS DE INVERSIÓN\FMXPA_Prospecto_09-05-2023_Carta_CNBV_entrada_en_vigor_y_plazo_a_clientes.pdf",Exito
2026-05-17T12:28:12.959612,VALMX20,Prospecto,17/05/2023,Prospecto_VALMX20_Autz_Firmado,"Archivos\OPERADORA VALMEX DE FONDOS DE INVERSIÓN, S.A. DE C.V.\VALMX20_Prospecto_17-05-2023_Prospecto_VALMX20_Autz_Firmado.pdf",Exito
2026-05-17T13:34:24.748008,SCOT-43,Prospecto,24/04/2026,Prospecto_General_Ciclos de Vida,"Archivos\SCOTIA FONDOS, S.A. DE C.V.,SOCIEDAD OPERADORA DE FONDOS DE INVERSIÓN, GRUPO FINANCIERO SCOTIABANK I\SCOT-43_Prospecto_24-04-2026_Prospecto_General_Ciclos_de_Vida.pdf",Exito
2026-05-17T13:34:35.116039,SCOT-43,Prospecto,24/04/2026,CNBV - Escritos inf relevante y entrada en vigor Ciclos de Vida Abr 2026(1800081423.1)_SCOT-43,"Archivos\SCOTIA FONDOS, S.A. DE C.V.,SOCIEDAD OPERADORA DE FONDOS DE INVERSIÓN, GRUPO FINANCIERO SCOTIABANK I\SCOT-43_Prospecto_24-04-2026_CNBV_-_Escritos_inf_relevante_y_entrada_en_vigor_C.pdf",Exito
2026-05-17T13:34:45.135465,SCOT-36,Prospecto,24/04/2026,Prospecto_Ciclos de Vida,"Archivos\SCOTIA FONDOS, S.A. DE C.V.,SOCIEDAD OPERADORA DE FONDOS DE INVERSIÓN, GRUPO FINANCIERO SCOTIABANK I\SCOT-36_Prospecto_24-04-2026_Prospecto_Ciclos_de_Vida.pdf",Exito
2026-05-17T13:34:52.657226,SCOT-36,DICI,24/04/2026,DICI_SCOT-36,"Archivos\SCOTIA FONDOS, S.A. DE C.V.,SOCIEDAD OPERADORA DE FONDOS DE INVERSIÓN, GRUPO FINANCIERO SCOTIABANK I\SCOT-36_DICI_24-04-2026_DICI_SCOT-36.pdf",Exito
